Versuch;Users Nest GraphQL;Bookings Nest GraphQL;Parkingspaces Nest GraphQL;Users Nest REST;Bookings Nest REST;Parkingspaces Nest REST;Users Java GraphQL;Bookings Java GraphQL;Parkingspaces Java GraphQL;Users Java REST;Bookings Java REST;Parkingspaces Java REST
1;215;55;27;23;24;14;1145;346;307;1023;218;17
2;22;35;28;15;18;14;219;283;235;47;198;15
3;18;22;18;18;13;9;164;267;231;52;198;12
4;17;40;54;16;16;10;177;312;298;50;209;16
5;23;23;13;16;12;12;187;301;249;50;245;15
6;22;26;21;15;14;11;169;293;309;65;189;12
7;23;26;21;19;15;11;232;328;270;54;200;14
8;18;21;15;13;14;11;285;437;299;64;225;13
9;22;29;29;14;19;14;232;325;337;67;246;14
10;23;22;19;15;19;10;191;311;259;51;214;14
11;19;23;18;13;14;10;200;319;296;65;250;14
12;22;21;16;14;18;10;194;358;312;59;214;17
13;21;23;24;40;15;10;210;308;276;53;219;13
14;21;20;15;11;13;15;199;348;320;67;276;15
15;19;23;22;16;17;12;223;335;288;68;260;14
16;17;23;19;15;21;13;187;431;343;62;239;16
17;22;28;16;18;14;12;191;309;259;73;240;15
18;18;23;15;11;15;12;204;328;290;57;213;12
19;258;27;18;19;16;12;206;272;283;67;211;12
20;17;21;16;12;13;8;191;273;249;46;201;12
21;25;28;21;14;12;11;205;320;246;46;183;17
22;18;18;15;13;13;11;177;284;238;51;196;18
23;20;22;14;14;12;11;163;300;227;60;198;12
24;21;23;17;10;12;7;166;289;325;53;203;15
25;18;19;14;255;18;16;257;371;311;59;244;12
26;23;17;16;12;15;12;161;278;242;63;226;13
27;20;21;15;12;12;11;172;285;243;47;176;16
28;18;20;12;11;13;13;166;352;295;57;201;11
29;17;21;16;10;13;9;164;280;235;49;194;10
30;14;25;15;11;13;10;151;283;259;46;188;25
31;21;21;17;18;10;10;163;275;256;52;178;9
32;14;23;17;11;15;13;185;252;222;46;177;13
33;20;31;19;19;31;13;251;301;235;79;207;12
34;23;25;23;19;20;11;212;346;318;62;220;13
35;20;30;16;15;16;11;183;297;271;52;226;11
36;20;23;21;14;14;11;177;299;260;53;218;13
37;23;25;17;16;14;13;185;349;279;53;187;22
38;25;23;18;13;14;10;180;316;246;45;206;17
39;22;24;18;15;14;13;181;308;277;61;221;16
40;27;23;22;21;16;12;173;278;272;50;201;13
41;21;26;16;17;15;11;201;334;272;60;271;14
42;28;22;21;19;16;13;193;339;290;61;237;15
43;18;24;15;14;15;11;211;373;290;60;214;14
44;23;26;20;14;18;15;184;311;269;64;205;14
45;29;64;20;17;21;12;192;301;220;47;211;15
46;25;30;21;14;15;12;210;365;259;56;209;13
47;25;29;28;23;17;20;200;379;307;58;224;14
48;24;43;19;13;14;10;195;279;272;59;211;12
49;31;26;19;13;17;13;201;331;277;58;250;13
50;17;34;20;16;19;10;223;327;320;50;245;12
51;24;19;22;17;19;10;177;273;275;53;221;11
52;22;23;19;14;11;13;184;364;258;62;208;13
53;20;31;19;16;17;17;196;404;297;68;216;10
54;17;22;21;16;16;11;177;358;260;48;208;13
55;22;29;19;13;13;40;198;342;296;69;246;28
56;24;30;25;28;29;11;214;311;264;57;216;23
57;23;32;16;13;13;11;160;343;308;56;270;16
58;24;25;16;15;19;12;227;323;256;48;219;13
59;23;25;24;11;17;12;179;305;250;43;192;13
60;20;23;18;17;16;16;232;308;269;60;223;15
61;20;24;19;17;16;13;203;320;297;60;255;13
62;21;29;17;14;17;16;190;306;236;60;209;16
63;19;26;22;23;15;11;186;406;299;57;234;13
64;27;31;27;19;19;12;199;336;323;55;268;14
65;24;27;21;65;15;14;207;364;305;45;178;10
66;21;33;22;13;18;10;200;323;259;52;217;14
67;26;29;18;14;19;11;219;352;283;65;310;17
68;22;26;23;25;25;10;214;345;286;43;214;13
69;23;26;22;16;15;15;194;308;264;52;203;12
70;23;31;24;16;17;11;195;322;281;61;197;10
71;19;26;25;13;15;13;182;268;306;66;239;12
72;30;24;23;16;19;11;214;351;263;58;206;15
73;22;31;21;16;15;17;175;320;294;48;230;11
74;22;26;18;14;17;13;203;308;248;42;231;12
75;21;22;22;15;17;11;190;318;277;65;265;14
76;22;29;16;15;16;15;207;365;299;54;233;12
77;22;23;17;19;17;12;197;301;233;58;255;12
78;21;27;20;15;23;11;178;306;267;62;201;13
79;24;24;16;16;16;11;187;310;272;63;263;13
80;38;29;30;14;17;12;221;372;266;41;192;13
81;22;28;19;15;19;12;204;339;297;60;213;11
82;21;31;19;14;18;15;187;334;314;52;199;12
83;20;31;22;15;16;11;183;342;225;47;191;15
84;20;26;19;15;17;14;223;369;261;52;219;13
85;24;27;20;16;14;10;188;307;314;58;215;14
86;22;27;16;15;14;13;191;321;265;54;183;11
87;26;26;17;17;15;10;224;329;298;67;253;13
88;21;28;49;16;15;12;231;309;310;58;218;12
89;25;26;16;15;20;12;199;307;225;41;189;10
90;18;29;18;15;14;13;224;309;272;65;250;34
91;28;35;21;16;14;15;243;421;343;68;246;11
92;26;26;20;13;17;11;201;304;256;63;195;14
93;19;28;15;12;13;17;191;282;259;59;209;13
94;21;24;21;15;16;10;198;349;257;72;207;11
95;25;28;18;16;15;11;173;316;262;51;173;12
96;23;23;23;20;17;14;173;303;281;49;200;12
97;22;27;18;17;17;12;186;338;300;57;227;14
98;22;28;22;15;17;13;192;307;268;54;192;11
99;19;34;22;20;17;13;175;336;295;61;199;11
100;24;24;20;16;20;20;178;325;255;49;221;12
