Versuch;Users Nest GraphQL;Bookings Nest GraphQL;Parkingspaces Nest GraphQL;Users Nest REST;Bookings Nest REST;Parkingspaces Nest REST;Users Java GraphQL;Bookings Java GraphQL;Parkingspaces Java GraphQL;Users Java REST;Bookings Java REST;Parkingspaces Java REST
1;133;19;24;21;8;7;764;146;107;1027;119;17
2;12;16;8;11;10;8;69;91;89;23;67;13
3;12;13;12;10;10;8;87;88;89;21;86;10
4;13;12;10;11;8;10;57;71;68;16;53;10
5;11;12;8;7;9;8;50;68;67;16;48;10
6;11;9;10;6;8;7;50;68;60;18;48;13
7;15;10;11;11;8;7;54;74;66;15;37;9
8;8;9;9;9;10;8;91;71;64;18;55;9
9;12;13;8;8;7;8;47;66;68;16;50;8
10;11;10;8;9;6;7;41;63;50;14;38;8
11;8;10;8;10;8;5;40;65;52;16;51;8
12;11;10;9;8;9;6;41;65;54;14;43;7
13;9;8;8;8;8;7;50;70;57;23;48;9
14;10;11;10;7;8;7;40;55;61;14;40;8
15;16;15;9;8;7;6;42;68;54;13;40;7
16;14;13;8;9;7;7;39;57;49;16;43;9
17;18;11;10;9;7;8;42;61;56;17;50;8
18;9;10;8;7;7;6;35;65;50;13;49;7
19;10;8;8;10;7;6;42;68;56;15;40;9
20;10;12;11;9;8;7;46;71;56;17;47;8
21;10;14;9;8;7;8;40;67;54;15;46;8
22;13;8;8;8;8;6;47;64;50;14;42;8
23;8;11;8;6;7;5;40;71;39;13;41;8
24;8;10;9;7;8;6;40;60;59;17;49;28
25;13;13;11;8;8;9;59;89;66;18;39;12
26;11;13;9;9;12;9;44;72;68;22;55;9
27;12;13;10;11;9;7;50;80;65;19;67;9
28;14;12;10;15;8;6;45;67;54;14;47;10
29;11;10;8;8;8;6;42;72;66;19;61;9
30;16;10;12;8;8;7;49;86;69;23;59;9
31;11;12;11;9;9;8;56;80;67;16;53;8
32;14;11;10;8;8;7;42;73;63;16;48;10
33;10;11;11;9;8;7;51;75;66;16;50;9
34;11;12;10;9;8;10;50;70;66;20;54;9
35;19;16;14;10;9;7;52;74;67;19;62;8
36;11;11;16;11;9;11;51;77;69;17;52;9
37;15;16;11;11;11;8;53;72;59;17;59;11
38;11;15;12;9;9;7;54;100;72;17;61;10
39;18;16;12;11;10;11;50;85;67;20;58;8
40;12;15;11;11;8;7;52;76;71;17;57;12
41;12;14;10;9;13;8;52;82;70;19;62;10
42;13;17;10;8;8;7;45;71;60;15;51;9
43;12;12;12;10;9;7;49;80;71;21;57;11
44;11;14;12;10;10;8;54;81;64;18;52;9
45;11;13;12;11;10;9;51;80;64;18;58;10
46;13;15;12;9;11;8;50;80;86;23;77;13
47;16;16;11;13;10;10;47;75;78;25;70;9
48;15;16;11;11;12;8;54;73;48;16;51;9
49;11;17;12;8;9;7;51;74;65;18;52;9
50;20;12;10;9;9;8;44;70;58;18;54;9
51;12;11;10;8;9;8;48;72;57;16;50;9
52;14;17;12;9;9;8;55;77;66;17;59;10
53;14;13;12;11;9;7;55;104;87;23;70;12
54;14;12;10;10;9;9;56;77;59;19;56;10
55;14;13;12;8;10;8;54;81;72;19;56;11
56;12;13;11;10;9;10;47;84;74;18;56;8
57;11;11;9;9;9;8;50;75;50;18;52;9
58;12;11;11;10;8;7;48;75;60;18;55;10
59;11;12;13;10;9;8;43;73;57;16;47;11
60;11;11;9;9;8;8;48;72;57;19;52;9
61;14;13;12;10;7;8;45;76;55;18;54;10
62;13;14;11;8;9;7;41;62;61;19;57;14
63;13;11;13;9;8;9;49;77;67;20;56;9
64;11;11;11;13;9;7;50;79;68;22;65;11
65;14;12;12;8;9;7;58;84;52;15;53;8
66;14;10;8;9;10;7;45;76;85;14;47;9
67;10;11;12;8;8;6;45;76;62;17;64;9
68;11;10;9;8;8;7;45;87;59;16;48;8
69;11;11;12;14;9;7;42;69;56;15;46;10
70;12;13;12;9;9;7;42;61;56;18;71;10
71;14;13;11;9;13;9;64;100;74;23;71;11
72;15;14;12;15;9;10;51;76;58;18;66;9
73;14;14;11;14;12;7;54;67;58;14;45;7
74;10;9;15;8;11;8;43;68;59;16;45;8
75;13;13;13;20;17;8;41;73;65;18;60;9
76;14;15;13;10;11;7;47;76;61;18;46;9
77;14;18;15;10;12;8;51;71;68;16;57;9
78;16;14;11;11;9;9;45;69;59;18;53;10
79;11;14;11;13;9;10;47;77;59;16;53;11
80;13;14;13;11;12;8;50;72;60;18;52;10
81;13;13;12;11;9;7;47;73;63;17;48;10
82;12;12;10;10;9;9;42;64;70;16;39;10
83;12;13;11;9;9;9;50;60;55;17;52;8
84;14;13;13;9;8;9;47;76;64;18;48;10
85;12;12;11;9;9;8;51;81;67;18;52;11
86;11;14;10;11;9;8;48;77;59;16;43;12
87;11;13;12;11;9;8;51;78;70;18;51;10
88;13;11;8;8;10;9;51;69;56;17;47;9
89;12;11;9;13;8;9;46;71;59;19;53;11
90;11;13;10;9;9;8;45;72;59;15;40;7
91;10;11;11;8;7;8;51;70;49;15;44;9
92;12;13;11;10;9;8;52;81;66;16;50;10
93;12;16;10;9;9;7;49;77;67;16;51;9
94;11;13;9;9;15;6;41;72;55;17;43;9
95;13;12;9;8;8;7;42;70;60;15;45;9
96;14;19;9;10;9;9;44;68;65;20;48;9
97;11;13;13;15;8;7;49;75;64;16;60;8
98;13;14;11;9;10;7;47;75;64;16;46;12
99;15;10;11;10;7;7;43;61;53;15;43;13
100;9;10;7;8;8;8;38;81;68;17;53;10
