Versuch;Users Nest GraphQL;Bookings Nest GraphQL;Parkingspaces Nest GraphQL;Users Nest REST;Bookings Nest REST;Parkingspaces Nest REST;Users Java GraphQL;Bookings Java GraphQL;Parkingspaces Java GraphQL;Users Java REST;Bookings Java REST;Parkingspaces Java REST
1;79;40;15;17;11;9;44;57;46;23;33;10
2;17;21;14;11;10;8;39;53;58;19;26;10
3;14;12;12;9;11;11;46;54;55;20;39;16
4;16;12;13;10;12;11;38;53;48;15;34;11
5;14;17;12;23;13;10;44;199;58;17;35;10
6;24;15;12;12;10;7;40;52;43;15;32;10
7;14;11;11;8;8;8;45;51;48;15;32;13
8;13;12;11;12;8;7;37;45;40;17;33;11
9;16;13;12;8;9;7;33;44;39;15;36;18
10;12;12;13;9;9;12;37;44;45;19;32;11
11;14;12;8;9;8;12;38;74;39;13;31;11
12;14;11;10;10;10;7;40;52;46;13;31;11
13;11;12;11;8;7;8;31;41;33;18;40;10
14;12;10;17;9;7;14;36;49;44;15;31;10
15;12;11;10;13;7;8;37;48;47;16;32;10
16;11;11;10;9;12;7;37;48;44;15;30;9
17;16;8;8;8;7;8;34;45;42;16;33;10
18;13;13;11;12;9;7;31;43;33;11;28;15
19;13;12;11;11;8;8;39;50;44;14;35;9
20;11;14;9;8;7;9;38;48;44;13;32;11
21;11;10;10;10;8;7;28;42;39;12;30;8
22;10;11;12;14;6;9;32;44;37;15;32;9
23;12;10;10;9;9;16;37;58;55;15;31;8
24;10;20;9;12;8;6;41;45;35;11;33;8
25;12;13;9;7;10;25;33;45;44;13;34;10
26;12;12;9;11;8;8;38;47;42;14;28;11
27;10;12;10;8;7;6;30;42;38;12;27;8
28;11;10;7;7;6;7;27;38;34;13;25;9
29;8;9;11;10;9;7;33;45;43;12;28;9
30;14;14;9;8;8;6;33;45;43;13;38;9
31;10;10;8;12;7;12;33;40;43;20;27;9
32;11;9;12;7;6;6;26;44;28;11;23;9
33;9;9;8;7;8;6;29;39;32;15;28;8
34;10;14;10;14;8;7;33;38;33;10;28;7
35;11;9;8;8;6;6;25;46;33;11;23;10
36;10;10;11;16;8;6;35;39;34;12;25;10
37;10;11;15;12;8;11;30;38;36;11;29;11
38;11;10;8;8;7;7;29;42;28;9;24;7
39;9;14;9;7;7;7;32;51;40;12;29;10
40;15;16;10;11;9;8;38;49;39;14;36;14
41;13;16;12;13;11;7;34;54;46;15;33;11
42;13;10;10;10;8;7;35;42;40;13;38;11
43;10;11;9;9;9;6;30;37;36;11;21;6
44;15;9;7;8;7;6;27;35;31;10;26;7
45;10;10;8;8;7;6;26;36;33;13;29;16
46;11;17;9;8;8;8;34;45;36;11;26;9
47;9;9;8;9;7;8;31;38;46;14;27;8
48;10;10;9;10;7;6;29;35;34;12;26;10
49;9;8;8;9;7;7;28;44;37;11;22;7
50;8;10;8;8;9;13;31;40;37;13;33;8
51;10;10;8;8;7;7;38;53;42;15;30;9
52;10;11;11;8;8;8;37;46;38;13;32;8
53;11;9;8;6;8;6;32;46;29;11;28;7
54;8;8;8;6;7;7;31;48;43;13;29;9
55;10;8;10;11;6;10;33;49;38;13;31;10
56;9;10;10;8;8;8;37;43;34;21;27;8
57;10;8;10;8;8;7;34;45;43;42;35;9
58;12;9;9;8;7;8;37;60;46;14;50;9
59;10;11;9;10;9;6;43;53;43;14;31;7
60;10;19;9;9;8;7;36;46;45;13;31;8
61;9;10;9;8;8;6;32;48;34;17;26;14
62;9;9;9;8;8;6;29;40;52;12;28;8
63;10;10;12;8;8;7;29;45;39;16;35;11
64;12;11;10;10;8;7;33;42;36;11;28;9
65;15;9;8;8;7;6;32;46;35;15;30;13
66;10;8;8;8;7;7;32;41;36;15;34;9
67;12;10;11;7;8;7;34;50;42;14;24;7
68;9;10;8;8;8;7;31;48;42;13;36;9
69;12;9;9;9;11;9;35;39;33;10;29;8
70;15;15;11;9;7;6;32;43;45;15;34;8
71;13;12;11;8;9;7;27;35;27;10;27;8
72;10;16;8;7;7;6;33;39;35;11;27;7
73;10;9;8;8;7;6;32;47;44;12;35;10
74;11;11;10;8;10;11;35;46;40;14;36;9
75;12;12;10;13;10;7;35;47;43;15;33;10
76;10;10;8;9;9;8;36;53;42;12;31;10
77;8;9;9;7;7;6;27;39;29;12;32;10
78;18;10;10;10;7;6;35;41;39;15;26;10
79;10;9;14;9;12;6;41;52;45;15;35;10
80;11;12;10;10;8;7;35;44;41;15;29;16
81;9;9;8;7;8;6;32;39;36;11;33;8
82;13;10;11;10;10;7;37;53;52;17;31;8
83;13;10;9;9;8;8;34;49;42;17;31;7
84;10;13;8;9;11;7;28;34;28;10;29;7
85;10;11;14;8;8;6;34;47;39;14;28;9
86;10;10;10;9;8;9;34;49;45;18;32;10
87;9;13;8;8;9;6;36;50;43;16;34;10
88;10;11;10;9;9;7;37;51;47;12;31;9
89;17;12;10;9;7;7;34;45;43;13;26;7
90;10;10;10;9;8;7;30;47;43;15;33;7
91;12;10;10;9;7;7;29;49;44;14;35;9
92;11;9;9;11;7;7;26;39;36;15;29;7
93;8;7;7;7;12;6;25;39;31;10;26;7
94;10;9;8;7;7;8;27;36;34;10;25;8
95;8;10;8;6;7;7;28;36;34;12;21;6
96;7;8;8;9;8;6;27;36;31;8;19;8
97;7;6;6;6;6;5;49;42;36;12;32;10
98;11;11;14;9;8;6;35;42;39;12;29;9
99;9;8;8;9;7;7;27;36;32;11;24;6
100;9;11;7;7;6;6;27;37;31;13;25;9
