Versuch;Users Nest GraphQL;Bookings Nest GraphQL;Parkingspaces Nest GraphQL;Users Nest REST;Bookings Nest REST;Parkingspaces Nest REST;Users Java GraphQL;Bookings Java GraphQL;Parkingspaces Java GraphQL;Users Java REST;Bookings Java REST;Parkingspaces Java REST
1;152;24;16;16;12;12;833;225;168;1112;100;15
2;14;15;12;12;8;8;95;123;160;26;84;11
3;16;15;10;10;11;11;81;131;119;28;93;14
4;14;15;13;11;10;10;99;190;162;28;103;12
5;257;20;13;12;12;12;135;126;103;26;87;10
6;12;14;9;8;10;10;87;116;97;33;79;10
7;13;12;12;11;20;20;123;148;104;26;77;11
8;12;19;11;13;10;10;72;127;124;26;92;12
9;16;16;14;13;11;11;92;134;125;27;90;10
10;14;13;10;10;14;14;92;135;130;27;91;10
11;12;14;11;10;9;9;84;124;117;26;93;11
12;15;17;12;11;11;11;91;136;108;25;91;10
13;16;15;16;9;9;9;95;127;112;30;85;11
14;14;17;12;15;12;12;88;128;101;26;92;12
15;20;29;15;13;12;12;134;157;112;35;109;10
16;16;22;18;10;9;9;90;148;135;30;100;11
17;14;17;15;11;11;11;78;138;130;27;105;11
18;21;17;13;12;10;10;91;135;104;24;105;13
19;19;17;14;15;10;10;84;142;125;28;82;12
20;14;17;12;11;10;10;81;113;124;28;93;12
21;13;19;11;12;13;13;91;151;134;29;86;10
22;16;15;15;13;16;16;97;177;127;32;94;12
23;16;14;14;16;12;12;87;128;110;27;81;9
24;13;18;15;11;12;12;87;139;115;29;84;12
25;15;19;14;13;10;10;81;128;115;27;85;12
26;14;17;11;12;9;9;74;134;121;30;85;15
27;15;16;32;12;12;12;89;138;124;32;92;11
28;16;18;11;14;11;11;76;108;108;25;90;14
29;29;19;16;12;13;13;79;125;122;29;87;11
30;15;19;13;11;11;11;86;123;120;26;85;11
31;17;16;14;9;12;12;82;125;118;27;89;11
32;13;17;16;12;11;11;82;134;116;24;82;11
33;15;17;12;9;9;9;86;145;121;24;92;12
34;16;18;10;14;10;10;83;129;132;28;89;12
35;15;15;15;19;12;12;87;133;114;24;99;11
36;13;15;15;12;11;11;82;119;122;27;85;12
37;14;21;14;12;10;10;94;114;108;21;75;10
38;13;17;14;11;13;13;82;123;108;28;95;13
39;16;13;11;9;11;11;94;140;125;26;97;17
40;12;20;13;14;10;10;108;140;131;32;103;11
41;18;18;15;12;11;11;95;154;126;30;100;12
42;17;15;13;10;10;10;83;136;120;30;94;13
43;27;20;17;12;10;10;86;204;126;31;103;13
44;17;19;21;12;11;11;84;148;121;31;97;8
45;18;20;15;11;11;11;78;148;111;30;104;12
46;21;13;16;18;10;10;77;139;109;215;101;14
47;14;19;15;16;10;10;82;115;102;30;95;12
48;13;16;15;10;10;10;82;140;106;28;97;12
49;14;23;14;10;12;12;90;140;113;22;96;10
50;12;17;13;13;14;14;84;149;129;28;101;11
51;17;16;14;11;12;12;88;132;106;29;140;12
52;18;23;17;13;13;13;78;125;120;30;136;9
53;12;17;12;11;9;9;92;137;115;24;85;10
54;12;13;11;11;11;11;84;136;145;33;123;10
55;15;17;18;11;13;13;112;126;116;27;106;11
56;14;16;12;14;20;20;124;202;133;25;89;12
57;14;14;15;12;10;10;84;138;115;36;155;43
58;16;19;14;13;13;13;92;141;167;36;135;13
59;15;18;16;14;11;11;81;143;106;27;101;16
60;19;20;18;14;12;12;82;169;169;33;101;10
61;16;16;16;10;10;10;81;206;131;28;113;10
62;14;16;11;12;10;10;78;159;164;24;85;10
63;21;17;18;12;10;10;124;171;95;20;87;10
64;19;14;21;13;11;11;73;153;118;27;100;12
65;15;16;14;11;12;12;83;134;124;29;95;12
66;18;16;14;10;16;16;90;127;113;24;118;9
67;18;15;14;11;15;15;85;135;116;26;94;11
68;16;17;13;12;11;11;82;141;110;23;79;10
69;14;20;12;9;9;9;96;137;121;26;105;10
70;16;18;16;14;14;14;91;139;149;33;93;13
71;15;22;14;14;12;12;116;192;119;26;104;12
72;19;16;13;13;12;12;87;141;114;25;100;11
73;15;25;11;16;11;11;83;132;106;26;99;11
74;13;19;12;12;12;12;78;112;112;25;80;12
75;16;20;12;12;11;11;79;141;108;24;91;10
76;12;17;13;10;10;10;85;200;157;34;137;10
77;12;16;13;12;11;11;89;146;128;26;104;10
78;14;16;18;11;11;11;88;137;112;23;95;10
79;16;13;15;11;12;12;78;140;117;24;85;10
80;23;15;11;18;10;10;78;140;98;23;86;10
81;14;19;18;10;10;10;104;141;116;24;88;9
82;12;19;13;11;12;12;78;149;108;22;96;10
83;17;15;14;10;11;11;96;142;117;28;108;10
84;14;16;11;18;12;12;78;135;121;27;99;10
85;12;18;12;13;13;13;86;165;111;23;89;10
86;10;14;10;9;8;8;62;141;120;29;81;7
87;11;14;11;8;9;9;81;131;107;25;86;11
88;11;14;11;11;9;9;67;122;191;29;112;9
89;13;13;12;9;8;8;72;123;95;24;100;9
90;15;15;12;8;11;11;80;127;82;19;70;8
91;10;12;9;8;8;8;76;150;109;25;90;12
92;16;14;10;11;10;10;85;120;112;23;85;8
93;12;14;15;10;9;9;82;149;119;26;105;9
94;13;14;10;10;9;9;88;146;119;25;107;9
95;12;17;11;9;9;9;93;144;131;29;117;10
96;14;15;13;11;24;24;84;151;137;30;105;8
97;13;14;12;10;10;10;88;154;129;29;116;10
98;12;19;11;10;14;14;110;156;152;31;114;11
99;49;18;13;10;9;9;87;159;128;30;110;10
100;16;17;12;11;9;9;83;132;123;26;98;9
